code,poor215,temp,indexagri,rule_of_law_pct,z_poor,z_temp,z_agri,z_rule,risk_score,rank,label_name
MUS,.5481336499999999,20.622803,2.784588659999999,78.226021,-.67830634,.4530035,-.80312103,1.1345855,-2.1630094,97,
KAZ,.04234796875,8.9594402,4.395858102999999,33.690475,-.70331842,-1.3082725,-.65178221,-.45819342,-2.2051797,98,
GEO,6.161838242857143,11.433372,6.762198594999987,59.795918,-.40069813,-.93468583,-.42952311,.4754473,-2.2403543,99,
ISR,.4039761904761907,21.429621,1.191049724999999,80.990082,-.68543524,.57484049,-.95279455,1.23344,-2.2968292,100,
RUS,.025190012345679,6.2560477,3.394254978999997,22.857143,-.70416689,-1.7165098,-.74585801,-.84563905,-2.3208957,101,
CYP,.0517267142857143,18.878609,1.733539855,76.439034,-.70285463,.18961401,-.90184104,1.0706754,-2.4857571,102,
ITA,1.746505628571428,14.666109,1.945420073999999,62.065018,-.6190446,-.44651249,-.88194013,.55659992,-2.5040972,103,
ROU,3.996226892857142,12.743978,4.331834130999997,64.374023,-.5077917,-.73677218,-.65779567,.63917965,-2.5415392,104,
HRV,.5644351428571429,13.990442,2.95709187,61.650967,-.67750025,-.54854447,-.78691864,.54179168,-2.554755,105,
HUN,.8210636190476189,13.434991,3.485911692000001,67.919281,-.66480947,-.63242275,-.73724914,.76597303,-2.8004544,106,
MNG,.735124972972973,2.1404366,11.42800451999998,44.687504,-.66905928,-2.3380053,.008713779,-.06489329,-2.9334576,107,
ESP,1.04019084962406,15.324317,2.757594166999995,79.837128,-.65397322,-.34711701,-.80565649,1.1922055,-2.9989524,108,
MLT,.2106778571428571,16.615459,.7480438099999999,81.885796,-.69499421,-.15214252,-.99440402,1.2654746,-3.1070154,109,
PRT,.4233721999999999,15.879675,2.036529883,84.077316,-.68447608,-.26325279,-.87338263,1.3438525,-3.164964,110,
SVK,.6259916666666666,11.524889,2.149858483,69.157509,-.67445612,-.92086589,-.86273825,.81025732,-3.2683177,111,
POL,.3731509743589743,10.838275,2.338426295999999,69.211281,-.68695956,-1.0245509,-.84502697,.8121804,-3.3687179,112,
SVN,.0006932857142857,12.454753,2.245548597,82.150703,-.70537835,-.78044778,-.85375053,1.2749487,-3.6145253,113,
AUS,.4541343214285715,15.039893,2.457803972999999,94.639908,-.68295479,-.39006764,-.83381438,1.7216153,-3.6284521,114,
FRA,.1546824285714286,12.733323,1.648876615999997,88.011513,-.69776326,-.73838109,-.90979308,1.484556,-3.8304935,115,
LVA,.8719285714285714,8.6293669,3.593805161,78.405289,-.66229409,-1.3581165,-.72711521,1.1409969,-3.8885226,116,
LTU,.9846664285714286,9.2262011,2.879630172,80.107269,-.65671903,-1.267989,-.79419422,1.2018669,-3.9207692,117,
CZE,.0338927321428571,10.677615,1.936644874999999,82.632133,-.70373654,-1.048812,-.88276434,1.2921667,-3.9274797,118,
BEL,.2688072380952382,11.383379,.6030701520000002,88.012169,-.6921196,-.94223517,-1.0080206,1.4845794,-4.126955,119,
JPN,.43311875,10.926492,1.04669343,88.911514,-.68399405,-1.0112294,-.96635324,1.5167438,-4.1783204,120,
NLD,.3546107142857143,11.461356,1.650673719,96.186554,-.68787646,-.93045992,-.90962428,1.77693,-4.3048906,121,
IRL,.1985747142857143,9.8257141,.888696523,89.854134,-.6955927,-1.177457,-.98119313,1.5504559,-4.4046988,122,
EST,.6907424285714286,7.9215503,2.221009358,86.512955,-.6712541,-1.4650035,-.85605538,1.4309613,-4.423274,123,
DEU,.08572014375,10.434343,.6890132009999983,92.317352,-.7011736,-1.0855484,-.99994844,1.638551,-4.4252214,124,
CHL,.5269345106382979,5.8840003,3.545663582000003,81.681862,-.67935473,-1.7726923,-.73163688,1.258181,-4.441865,125,
GBR,.6360143958333331,10.1339,.576624141,93.439789,-.67396051,-1.1309181,-1.0105046,1.678694,-4.4940772,126,
LUX,.4922054285714287,10.825496,.233119379,95.844452,-.68107212,-1.0264808,-1.0427684,1.7646949,-4.5150161,127,
AUT,.5820695238095238,9.665801,1.130155508,97.138275,-.67662817,-1.2016054,-.95851403,1.8109674,-4.6477151,128,
